gc_content_percent	read_count
0	20158
1	40138
2	24496
3	60200
4	34322
5	75887
6	41379
7	93422
8	57193
9	145270
10	92792
11	233176
12	142167
13	321926
14	174073
15	367572
16	210460
17	547472
18	394709
19	1249302
20	948796
21	2725458
22	1907850
23	5311622
24	3540119
25	9244718
26	12612029
27	7735094
28	18397748
29	10659628
30	24088784
31	13394355
32	29277539
33	15850863
34	34012045
35	18196875
36	38437038
37	19961868
38	40235485
39	19885062
40	38181062
41	18035706
42	33480004
43	15491593
44	28923156
45	13749672
46	26350588
47	12775702
48	24898503
49	12220391
50	23855436
51	11538705
52	21625868
53	9837490
54	17248733
55	7419760
56	12572723
57	5301312
58	8970201
59	3800654
60	6537799
61	2820467
62	4895424
63	2122184
64	3634545
65	1551708
66	2614172
67	1085382
68	1792479
69	739045
70	1222413
71	509605
72	862788
73	362594
74	622245
75	525198
76	233611
77	447709
78	192410
79	332133
80	140016
81	237045
82	102998
83	167784
84	70448
85	116084
86	46144
87	73594
88	28321
89	45706
90	19721
91	32442
92	13839
93	25697
94	11920
95	22943
96	11911
97	26593
98	16655
99	57897
100	183710
