chr	band	reads
1	p36.33	0
1	p36.32	0
1	p36.31	0
1	p36.23	0
1	p36.22	0
1	p36.21	0
1	p36.13	0
1	p36.12	0
1	p36.11	0
1	p35.3	0
1	p35.2	0
1	p35.1	0
1	p34.3	0
1	p34.2	0
1	p34.1	0
1	p33	0
1	p32.3	0
1	p32.2	0
1	p32.1	0
1	p31.3	0
1	p31.2	0
1	p31.1	0
1	p22.3	0
1	p22.2	0
1	p22.1	0
1	p21.3	0
1	p21.2	0
1	p21.1	0
1	p13.3	0
1	p13.2	0
1	p13.1	0
1	p12	0
1	p11.2	0
1	p11.1	0
1	q11	0
1	q12	0
1	q21.1	0
1	q21.2	0
1	q21.3	0
1	q22	0
1	q23.1	0
1	q23.2	0
1	q23.3	0
1	q24.1	0
1	q24.2	0
1	q24.3	0
1	q25.1	0
1	q25.2	0
1	q25.3	0
1	q31.1	0
1	q31.2	0
1	q31.3	0
1	q32.1	0
1	q32.2	0
1	q32.3	0
1	q41	0
1	q42.11	0
1	q42.12	0
1	q42.13	0
1	q42.2	0
1	q42.3	0
1	q43	0
1	q44	0
2	p25.3	0
2	p25.2	0
2	p25.1	0
2	p24.3	0
2	p24.2	0
2	p24.1	0
2	p23.3	0
2	p23.2	0
2	p23.1	0
2	p22.3	0
2	p22.2	0
2	p22.1	0
2	p21	0
2	p16.3	0
2	p16.2	0
2	p16.1	0
2	p15	0
2	p14	0
2	p13.3	0
2	p13.2	0
2	p13.1	0
2	p12	0
2	p11.2	0
2	p11.1	0
2	q11.1	0
2	q11.2	0
2	q12.1	0
2	q12.2	0
2	q12.3	0
2	q13	0
2	q14.1	0
2	q14.2	0
2	q14.3	0
2	q21.1	0
2	q21.2	0
2	q21.3	0
2	q22.1	0
2	q22.2	0
2	q22.3	0
2	q23.1	0
2	q23.2	0
2	q23.3	0
2	q24.1	0
2	q24.2	0
2	q24.3	0
2	q31.1	0
2	q31.2	0
2	q31.3	0
2	q32.1	0
2	q32.2	0
2	q32.3	0
2	q33.1	0
2	q33.2	0
2	q33.3	0
2	q34	0
2	q35	0
2	q36.1	0
2	q36.2	0
2	q36.3	0
2	q37.1	0
2	q37.2	0
2	q37.3	0
3	p26.3	0
3	p26.2	0
3	p26.1	0
3	p25.3	0
3	p25.2	0
3	p25.1	0
3	p24.3	0
3	p24.2	0
3	p24.1	0
3	p23	0
3	p22.3	0
3	p22.2	0
3	p22.1	0
3	p21.33	0
3	p21.32	0
3	p21.31	0
3	p21.2	0
3	p21.1	0
3	p14.3	0
3	p14.2	0
3	p14.1	0
3	p13	0
3	p12.3	0
3	p12.2	0
3	p12.1	0
3	p11.2	0
3	p11.1	0
3	q11.1	0
3	q11.2	0
3	q12.1	0
3	q12.2	0
3	q12.3	0
3	q13.11	0
3	q13.12	0
3	q13.13	0
3	q13.2	0
3	q13.31	0
3	q13.32	0
3	q13.33	0
3	q21.1	0
3	q21.2	0
3	q21.3	0
3	q22.1	0
3	q22.2	0
3	q22.3	0
3	q23	0
3	q24	0
3	q25.1	0
3	q25.2	0
3	q25.31	0
3	q25.32	0
3	q25.33	0
3	q26.1	0
3	q26.2	0
3	q26.31	0
3	q26.32	0
3	q26.33	0
3	q27.1	0
3	q27.2	0
3	q27.3	0
3	q28	0
3	q29	0
4	p16.3	0
4	p16.2	0
4	p16.1	0
4	p15.33	0
4	p15.32	0
4	p15.31	0
4	p15.2	0
4	p15.1	0
4	p14	0
4	p13	0
4	p12	0
4	p11	0
4	q11	0
4	q12	0
4	q13.1	0
4	q13.2	0
4	q13.3	0
4	q21.1	0
4	q21.21	0
4	q21.22	0
4	q21.23	0
4	q21.3	0
4	q22.1	0
4	q22.2	0
4	q22.3	0
4	q23	0
4	q24	0
4	q25	0
4	q26	0
4	q27	0
4	q28.1	0
4	q28.2	0
4	q28.3	0
4	q31.1	0
4	q31.21	0
4	q31.22	0
4	q31.23	0
4	q31.3	0
4	q32.1	0
4	q32.2	0
4	q32.3	0
4	q33	0
4	q34.1	0
4	q34.2	0
4	q34.3	0
4	q35.1	0
4	q35.2	0
5	p15.33	0
5	p15.32	0
5	p15.31	0
5	p15.2	0
5	p15.1	0
5	p14.3	0
5	p14.2	0
5	p14.1	0
5	p13.3	0
5	p13.2	0
5	p13.1	0
5	p12	0
5	p11	0
5	q11.1	0
5	q11.2	0
5	q12.1	0
5	q12.2	0
5	q12.3	0
5	q13.1	0
5	q13.2	0
5	q13.3	0
5	q14.1	0
5	q14.2	0
5	q14.3	0
5	q15	0
5	q21.1	0
5	q21.2	0
5	q21.3	0
5	q22.1	0
5	q22.2	0
5	q22.3	0
5	q23.1	0
5	q23.2	0
5	q23.3	0
5	q31.1	0
5	q31.2	0
5	q31.3	0
5	q32	0
5	q33.1	0
5	q33.2	0
5	q33.3	0
5	q34	0
5	q35.1	0
5	q35.2	0
5	q35.3	0
6	p25.3	0
6	p25.2	0
6	p25.1	0
6	p24.3	0
6	p24.2	0
6	p24.1	0
6	p23	0
6	p22.3	0
6	p22.2	0
6	p22.1	0
6	p21.33	0
6	p21.32	0
6	p21.31	0
6	p21.2	0
6	p21.1	0
6	p12.3	0
6	p12.2	0
6	p12.1	0
6	p11.2	0
6	p11.1	0
6	q11.1	0
6	q11.2	0
6	q12	0
6	q13	0
6	q14.1	0
6	q14.2	0
6	q14.3	0
6	q15	0
6	q16.1	0
6	q16.2	0
6	q16.3	0
6	q21	0
6	q22.1	0
6	q22.2	0
6	q22.31	0
6	q22.32	0
6	q22.33	0
6	q23.1	0
6	q23.2	0
6	q23.3	0
6	q24.1	0
6	q24.2	0
6	q24.3	0
6	q25.1	0
6	q25.2	0
6	q25.3	0
6	q26	0
6	q27	0
7	p22.3	0
7	p22.2	0
7	p22.1	0
7	p21.3	0
7	p21.2	0
7	p21.1	0
7	p15.3	0
7	p15.2	0
7	p15.1	0
7	p14.3	0
7	p14.2	0
7	p14.1	0
7	p13	0
7	p12.3	0
7	p12.2	0
7	p12.1	0
7	p11.2	0
7	p11.1	0
7	q11.1	0
7	q11.21	0
7	q11.22	0
7	q11.23	0
7	q21.11	0
7	q21.12	0
7	q21.13	0
7	q21.2	0
7	q21.3	0
7	q22.1	0
7	q22.2	0
7	q22.3	0
7	q31.1	0
7	q31.2	0
7	q31.31	0
7	q31.32	0
7	q31.33	0
7	q32.1	0
7	q32.2	0
7	q32.3	0
7	q33	0
7	q34	0
7	q35	0
7	q36.1	0
7	q36.2	0
7	q36.3	0
8	p23.3	0
8	p23.2	0
8	p23.1	0
8	p22	0
8	p21.3	0
8	p21.2	0
8	p21.1	0
8	p12	0
8	p11.23	0
8	p11.22	0
8	p11.21	0
8	p11.1	0
8	q11.1	0
8	q11.21	0
8	q11.22	0
8	q11.23	0
8	q12.1	0
8	q12.2	0
8	q12.3	0
8	q13.1	0
8	q13.2	0
8	q13.3	0
8	q21.11	0
8	q21.12	0
8	q21.13	0
8	q21.2	0
8	q21.3	0
8	q22.1	0
8	q22.2	0
8	q22.3	0
8	q23.1	0
8	q23.2	0
8	q23.3	0
8	q24.11	0
8	q24.12	0
8	q24.13	0
8	q24.21	0
8	q24.22	0
8	q24.23	0
8	q24.3	0
9	p24.3	0
9	p24.2	0
9	p24.1	0
9	p23	0
9	p22.3	0
9	p22.2	0
9	p22.1	0
9	p21.3	0
9	p21.2	0
9	p21.1	0
9	p13.3	0
9	p13.2	0
9	p13.1	0
9	p12	0
9	p11.2	0
9	p11.1	0
9	q11	0
9	q12	0
9	q13	0
9	q21.11	0
9	q21.12	0
9	q21.13	0
9	q21.2	0
9	q21.31	0
9	q21.32	0
9	q21.33	0
9	q22.1	0
9	q22.2	0
9	q22.31	0
9	q22.32	0
9	q22.33	0
9	q31.1	0
9	q31.2	0
9	q31.3	0
9	q32	0
9	q33.1	0
9	q33.2	0
9	q33.3	0
9	q34.11	0
9	q34.12	0
9	q34.13	0
9	q34.2	0
9	q34.3	0
10	p15.3	0
10	p15.2	0
10	p15.1	0
10	p14	0
10	p13	0
10	p12.33	0
10	p12.32	0
10	p12.31	0
10	p12.2	0
10	p12.1	0
10	p11.23	0
10	p11.22	0
10	p11.21	0
10	p11.1	0
10	q11.1	0
10	q11.21	0
10	q11.22	0
10	q11.23	0
10	q21.1	0
10	q21.2	0
10	q21.3	0
10	q22.1	0
10	q22.2	0
10	q22.3	0
10	q23.1	0
10	q23.2	0
10	q23.31	0
10	q23.32	0
10	q23.33	0
10	q24.1	0
10	q24.2	0
10	q24.31	0
10	q24.32	0
10	q24.33	0
10	q25.1	0
10	q25.2	0
10	q25.3	0
10	q26.11	0
10	q26.12	0
10	q26.13	0
10	q26.2	0
10	q26.3	0
11	p15.5	0
11	p15.4	0
11	p15.3	0
11	p15.2	0
11	p15.1	0
11	p14.3	0
11	p14.2	0
11	p14.1	0
11	p13	0
11	p12	0
11	p11.2	0
11	p11.12	0
11	p11.11	0
11	q11	0
11	q12.1	0
11	q12.2	0
11	q12.3	0
11	q13.1	0
11	q13.2	0
11	q13.3	0
11	q13.4	0
11	q13.5	0
11	q14.1	0
11	q14.2	0
11	q14.3	0
11	q21	0
11	q22.1	0
11	q22.2	0
11	q22.3	0
11	q23.1	0
11	q23.2	0
11	q23.3	0
11	q24.1	0
11	q24.2	0
11	q24.3	0
11	q25	0
12	p13.33	0
12	p13.32	0
12	p13.31	0
12	p13.2	0
